time,base_x,base_y,base_z,base_quat_x,base_quat_y,base_quat_z,base_quat_w,base_lin_x,base_lin_y,base_lin_z,base_ang_x,base_ang_y,base_ang_z,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,dq0,dq1,dq2,dq3,dq4,dq5,dq6,dq7,dq8,dq9,dq10,dq11,contact_LF,contact_RF,contact_LH,contact_RH
0.44,0.129676,0.0711943,0.339815,-0.0680335,-0.0579183,-0.0190935,0.995817,0.644602,0.29,-0.174671,1.53265,1.54004,0.85625,0.141746,0.569256,-1.1383,-0.0657797,0.695267,-0.564941,0.00942379,1.06824,-1.51524,0.125964,0.887595,-1.99853,-2.41106,2.55771,-4.64924,-2.23492,1.24427,-0.736209,-1.69023,-0.059415,1.04222,0.795163,-4.62068,1.38746,1,1,1,0,
0.46,0.142962,0.0766024,0.336305,-0.0504245,-0.0394833,-0.0100078,0.997897,0.684091,0.248935,-0.174596,1.87874,2.15594,0.888996,0.0814447,0.612811,-1.2414,-0.120943,0.729405,-0.61318,-0.0292791,1.03481,-1.46583,0.15374,0.679372,-1.82156,-3.01507,2.17775,-5.1551,-2.75817,1.70687,-2.41199,-1.93515,-1.67165,2.47056,1.38882,-10.4111,8.8484,1,1,1,0,
0.48,0.157043,0.0810766,0.332903,-0.031999,-0.0165968,-0.00110084,0.999349,0.724094,0.196611,-0.163805,1.70152,2.41552,0.794857,0.0208503,0.651188,-1.34303,-0.171874,0.781045,-0.723887,-0.0638018,0.983316,-1.39637,0.170145,0.435207,-1.54774,-3.02972,1.91885,-5.08134,-2.54653,2.58203,-5.53535,-1.72613,-2.57473,3.47293,0.820267,-12.2083,13.6907,1,0,1,0,
0.5,0.17193,0.0843918,0.329824,-0.0178991,0.00705611,0.00665707,0.999793,0.764613,0.133028,-0.142298,1.01534,2.29428,0.655816,-0.0279613,0.688192,-1.43442,-0.192012,0.889371,-1.09789,-0.0857145,0.927647,-1.316,0.173468,0.231974,-1.27706,-2.44058,1.85023,-4.56972,-1.00693,5.41627,-18.7003,-1.09564,-2.78344,4.01814,0.166145,-10.1617,13.5344,1,0,1,0,
0.52,0.187615,0.0863988,0.327237,-0.0117575,0.0280022,0.0130065,0.999454,0.803265,0.0696026,-0.116846,0.248425,1.89985,0.539978,-0.055718,0.72769,-1.50885,-0.180808,0.927632,-1.474,-0.0894414,0.879821,-1.23384,0.168999,0.169158,-1.18016,-1.38784,1.97488,-3.72163,0.560194,1.91309,-18.8052,-0.186344,-2.39131,4.10836,-0.223454,-3.14077,4.84503,1,0,1,1,
0.54,0.204032,0.087253,0.325131,-0.0116287,0.0443705,0.0180332,0.998785,0.837669,0.0177518,-0.0942235,-0.18232,1.36526,0.425955,-0.0653579,0.771076,-1.56213,-0.148795,0.864713,-1.73546,-0.0802701,0.844808,-1.15363,0.168635,0.195063,-1.19708,-0.481995,2.1693,-2.66405,1.60067,-3.14597,-13.0732,0.458568,-1.75065,4.01021,-0.0181901,1.29523,-0.846399,1,0,1,1,
0.56,0.221094,0.087186,0.323449,-0.0141736,0.0548072,0.0215589,0.998164,0.867824,-0.0225242,-0.0744288,-0.278212,0.703483,0.270105,-0.063182,0.818471,-1.59019,-0.110611,0.768303,-1.85275,-0.0661064,0.82629,-1.078,0.176316,0.236159,-1.22009,0.108797,2.36978,-1.40298,1.9092,-4.82048,-5.86462,0.708181,-0.925873,3.7818,0.384009,2.05481,-1.15004,1,0,1,1,
0.58,0.238717,0.0864292,0.322135,-0.0160799,0.0580434,0.023147,0.997916,0.893731,-0.0512255,-0.0574622,-0.0452193,-0.0781775,0.0483063,-0.0561046,0.868847,-1.58834,-0.0613711,0.640851,-1.84256,-0.0548914,0.828622,-1.01001,0.184735,0.296911,-1.25465,0.353869,2.5188,0.092619,2.46199,-6.37262,0.509686,0.560751,0.1166,3.39958,0.420985,3.03758,-1.72818,1,0,1,1,
0.6,0.256815,0.0852142,0.321132,-0.0140991,0.0528325,0.0222867,0.998255,0.91539,-0.0683521,-0.0433239,0.508808,-0.97978,-0.235745,-0.0517736,0.919623,-1.5511,0.0094689,0.401967,-1.70033,-0.0547912,0.856785,-0.953015,0.18669,0.382539,-1.30641,0.21655,2.53877,1.86219,3.542,-11.9442,7.11163,0.00501111,1.40811,2.84955,0.097731,4.28138,-2.58831,1,0,1,1,
0.62,0.275321,0.0837553,0.320379,-0.00599593,0.0388315,0.0188443,0.99905,0.935342,-0.0764545,-0.0327239,1.09599,-1.72494,-0.480134,-0.0567094,0.966361,-1.47504,0.0696093,0.165809,-1.44852,-0.071237,0.942471,-1.01201,0.176969,0.49588,-1.37734,-0.246788,2.33691,3.80269,3.00702,-11.8079,12.5904,-0.822292,4.28431,-2.94997,-0.486028,5.66708,-3.54649,1,0,0,1,
0.64,0.294234,0.0821991,0.319795,0.00670249,0.0194762,0.013695,0.999694,0.95613,-0.0780836,-0.0263726,1.43437,-2.03316,-0.608194,-0.0705462,1.00386,-1.36846,0.0993924,0.0258214,-1.20784,-0.0964289,1.1023,-1.37103,0.157664,0.627141,-1.45582,-0.69184,1.87478,5.32922,1.48915,-6.99938,12.0338,-1.25959,7.99127,-17.9508,-0.965276,6.56306,-3.92358,1,0,0,1,
0.66,0.313572,0.0806751,0.319295,0.0215668,-0.00080579,0.00777349,0.999737,0.977755,-0.0732394,-0.02427,1.53201,-1.89967,-0.648374,-0.0904294,1.02906,-1.24277,0.0940055,0.0763332,-1.17126,-0.119922,1.18254,-1.74472,0.132382,0.762391,-1.52753,-0.994159,1.26005,6.28467,-0.269343,2.52559,1.82911,-1.17464,4.01239,-18.6846,-1.26412,6.7625,-3.58548,1,1,0,1,
0.68,0.33335,0.0793127,0.318796,0.036288,-0.0175108,0.00163887,0.999187,1.00021,-0.0619218,-0.0264159,1.40708,-1.31521,-0.639933,-0.112869,1.0413,-1.11003,0.079869,0.184676,-1.21592,-0.133859,1.12329,-1.98417,0.104214,0.885826,-1.57924,-1.12196,0.612285,6.63663,-0.706827,5.41713,-2.23312,-0.696849,-2.96276,-11.9726,-1.40837,6.17176,-2.58567,1,1,0,1,
